cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
632,-10.436649,31.153439,-0.830559551715851,-0.486604690551758,-0.826057910919189,23,0.0
633,-15.412435,27.313986,-0.686677217483521,-0.686963021755219,-1.03120946884155,18,0.0
634,-11.348032,29.545235,0.108451597392559,0.20933872461319,-0.105650685727596,25,1.0
635,-15.661852,23.348015,-0.713105916976929,-0.617539525032043,-0.975991010665894,22,0.0
636,-15.002011,22.650645,0.008228181861341,0.135592341423035,-0.185277879238129,22,1.0
637,-17.49,23.222,-0.712022840976715,-0.756938338279724,-1.0812041759491,21,0.0
638,-12.929617,30.728035,-0.471129477024078,-0.0752217769622803,-0.381450682878494,19,0.0
639,-9.78075700168,32.5632626373,-0.755161643028259,-0.505804240703583,-0.847621917724609,24,0.0
640,-13.28704,23.216826,-0.743912398815155,-0.694157719612122,-1.04950773715973,21,0.0
641,-15.303505,22.755272,-0.852062106132507,-0.709659099578857,-1.0914888381958,24,0.0
642,-12.963076,28.663096,-0.120186798274517,0.0279787089675665,-0.319824635982513,25,1.0
643,-9.321141,32.753207,1.17283773422241,1.31242692470551,1.00134360790253,22,1.0
644,-13.98595,32.144548,-0.430791735649109,-0.251628935337067,-0.533951163291931,23,0.0
645,-15.461744,28.285062,1.87422788143158,1.96823227405548,1.67223930358887,24,1.0
646,-15.435109,28.246664,0.545359194278717,0.630248963832855,0.326657712459564,25,1.0
647,-11.980348,30.365352,-0.91638720035553,-0.773651242256165,-1.11397933959961,18,0.0
648,-13.963041,28.694515,-0.0138705018907785,0.204085528850555,-0.0611422844231129,20,1.0
649,-13.141534,28.423108,1.97107410430908,2.04418087005615,1.74277007579803,22,1.0
650,-12.166064,33.034754,-0.766144335269928,-0.52281129360199,-0.849321305751801,23,0.0
651,-14.456165,28.474056,0.156613633036613,0.176964923739433,-0.106338553130627,22,1.0
652,-8.991286,30.57521,-0.849953472614288,-0.941915035247803,-1.24621021747589,20,0.0
653,-16.258224,27.64644,-0.377790004014969,-0.126286774873734,-0.426486521959305,25,0.0
654,-15.3422119516,28.3361281801,0.809089124202728,1.06251466274261,0.74526059627533,23,1.0
655,-11.990034,24.169026,-0.788585305213928,-0.779297590255737,-1.06773352622986,17,0.0
656,-11.843549,31.451493,1.14966952800751,1.27533972263336,1.01428055763245,24,1.0
657,-8.844417,31.360222,1.06115245819092,1.28189253807068,0.969076335430145,25,1.0
658,-8.773722,31.119772,0.164501667022705,0.333824694156647,0.0639936923980713,24,1.0
659,-14.857704,23.577644,-0.869125664234161,-0.747591555118561,-1.1321736574173,23,0.0
660,-16.086142,28.829349,-0.556474149227142,-0.475676268339157,-0.843611717224121,24,0.0
661,-11.722221,24.45614,0.186216667294502,0.320884734392166,0.0107218082994223,21,1.0
662,-13.184563,31.847527,-0.645503640174866,-0.41260039806366,-0.742206394672394,22,0.0
663,-15.738498,26.031598,0.160890430212021,0.340488106012344,0.0399696491658688,23,1.0
664,-13.999711,28.862401,-0.49482125043869,-0.157311379909515,-0.423637062311172,24,0.0
665,-10.393023,28.68929,0.316065460443497,0.287906795740128,0.0486024916172028,22,1.0
666,-13.978632,31.423149,-0.432744354009628,-0.255729019641876,-0.589033246040344,23,0.0
667,-12.427421,33.0753,-0.640569984912872,-0.291050761938095,-0.604437470436096,24,0.0
668,-16.704061,22.632634,-0.955287992954254,-0.898442566394806,-1.3029248714447,20,0.0
669,-10.388187,28.686506,-0.549092769622803,-0.43984392285347,-0.707590103149414,25,0.0
670,-13.527342,27.979379,-0.501437246799469,-0.370456874370575,-0.705332934856415,22,0.0
671,-9.829721,31.115649,-0.784258425235748,-0.531243324279785,-0.84774911403656,25,0.0
672,-14.829376,24.797952,-0.382235914468765,-0.402617484331131,-0.699941992759705,22,1.0
673,-15.750373,28.174152,1.59436130523682,1.74977326393127,1.48678088188171,23,1.0
674,-9.31066,32.746995,0.67603600025177,0.853238821029663,0.600116968154907,25,1.0
675,-15.367,28.292,0.721092104911804,0.94557797908783,0.63732236623764,24,1.0
676,-15.694647,23.057628,-0.760272264480591,-0.528081059455872,-0.893076121807098,22,0.0
677,-15.254182,23.13261,-0.17727667093277,-0.0853606089949608,-0.414164900779724,21,1.0
678,-11.297953,29.512139,0.374952018260956,0.478674650192261,0.182675674557686,25,1.0
679,-8.829521,31.348195,-0.197785645723343,-0.112290658056736,-0.445097357034683,23,1.0
680,-17.838833,25.892995,0.467998564243317,0.711136341094971,0.450460880994797,21,1.0
681,-10.412812,28.637971,-0.514885008335114,-0.496737569570541,-0.78555566072464,24,1.0
682,-15.404495,28.727424,-0.327047497034073,-0.0197501499205828,-0.31074246764183,24,0.0
683,-13.005327,28.627773,1.37428343296051,1.65763580799103,1.37783563137054,26,1.0
684,-17.83407,25.889511,0.669350385665894,0.834161639213562,0.585344076156616,24,1.0
685,-15.838862,27.761935,1.7570139169693,1.90782296657562,1.62541139125824,23,1.0
686,-10.22666,31.199848,1.19737565517426,1.44451522827148,1.13628494739532,25,1.0
687,-15.470163,28.213543,0.795857727527618,1.05452823638916,0.759972333908081,22,0.0
688,-15.239901,23.173965,-0.188814282417297,-0.0280408598482609,-0.360012531280518,21,1.0
689,-14.708419,30.852589,-0.362409591674805,-0.171686053276062,-0.485308766365051,25,0.0
690,-17.476063,24.283988,0.463958501815796,0.779955267906189,0.493317574262619,20,1.0
