cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
1,10.109415,-2.807555,-0.548464775085449,-0.689722061157227,-0.974219441413879,25,0.0
2,10.388513,-3.907798,-0.396168410778046,-0.408189386129379,-0.646285057067871,25,0.0
3,9.882864,-2.925703,0.0353020913898945,-0.236631333827972,-0.516284167766571,24,1.0
4,13.573418,-2.16312,-0.305424004793167,-0.28059259057045,-0.537413597106934,25,0.0
5,12.453299,-3.461899,-0.495252311229706,-0.72336608171463,-1.01707434654236,26,0.0
6,12.045308,-2.083828,-0.3509182035923,-0.297477602958679,-0.537908136844635,28,0.0
7,14.354198,-0.672096,-0.679309189319611,-0.846188604831696,-1.14611458778381,25,0.0
8,12.311034,-1.562071,1.43058037757874,0.783166348934174,0.539392530918121,24,1.0
9,11.780763,-0.363904,1.0896977186203,0.944980025291443,0.71482515335083,22,1.0
10,13.225114,-1.337994,-0.603229999542236,-0.607087075710297,-0.879470407962799,25,0.0
11,12.257957,-1.580725,-0.395271152257919,-0.295716941356659,-0.536592543125153,26,0.0
12,12.347135,-1.525563,1.9063446521759,1.14749717712402,0.904013216495514,26,1.0
13,12.206242,-0.635913,-0.224110007286072,-0.23568406701088,-0.459258943796158,26,1.0
14,11.003476,-0.862065,-0.0093544069677591,-0.21138958632946,-0.464715927839279,25,0.0
16,11.153261,-4.299484,1.49807262420654,0.826596081256866,0.604754686355591,27,1.0
17,12.082664,0.036727,-0.700813353061676,-0.901623845100403,-1.18276965618134,24,0.0
18,12.333709,-1.570541,1.73870122432709,1.19048047065735,0.942065119743347,25,1.0
20,12.25055,-2.314605,-0.306751161813736,-0.283012509346008,-0.536324560642242,26,1.0
21,12.991776,-0.130199,-0.133845210075378,-0.220449313521385,-0.483904153108597,23,1.0
22,11.140421,-4.332875,1.57759404182434,0.922901153564453,0.691999912261963,25,1.0
23,12.576038,-2.061067,-0.43584680557251,-0.448564976453781,-0.698967516422272,25,0.0
24,11.935787,-1.550645,-0.0618860833346844,-0.250462055206299,-0.493709981441498,23,0.0
25,13.334079,0.334133,-0.651624321937561,-0.801376104354858,-1.09250593185425,23,0.0
27,13.625441,-2.957449,-0.61238557100296,-0.724069595336914,-1.01083195209503,25,0.0
28,11.146847,-4.194512,-0.368523448705673,-0.545958638191223,-0.779023230075836,26,0.0
31,13.411583,-1.784539,-0.568723082542419,-0.614150822162628,-0.873223423957825,26,0.0
32,11.340071,-4.392795,0.414766013622284,0.735357701778412,0.509810566902161,25,0.0
33,13.857371,-1.888292,-0.615705370903015,-0.663339674472809,-0.943469405174255,26,0.0
34,12.997927,-2.361195,-0.480795592069626,-0.380249291658401,-0.642227351665497,25,0.0
35,10.636343,-5.099515,-0.0848651900887489,-0.194603890180588,-0.462838381528854,25,0.0
36,12.357662,-1.450608,0.518403172492981,0.349818736314774,0.120688982307911,22,1.0
37,13.924683,-2.358051,-0.543256938457489,-0.6163609623909,-0.889954149723053,23,0.0
38,14.35238,-0.595966,-0.742528796195984,-1.12739396095276,-1.38628053665161,25,0.0
39,14.011574,-1.108112,-0.655851542949677,-0.804400861263275,-1.0753231048584,26,0.0
40,12.066752,0.336321,1.41045093536377,0.838822782039642,0.599436581134796,21,1.0
41,13.722037,-2.124789,-0.427014797925949,-0.416036516427994,-0.686735510826111,23,0.0
42,11.675384,-0.930571,-0.495451539754868,-0.514923393726349,-0.783645153045654,26,0.0
44,14.391355,0.205113,-0.369931310415268,-0.480399012565613,-0.759575188159943,23,0.0
45,11.815498,-0.407874,-0.195197999477386,-0.295308619737625,-0.539575576782227,25,1.0
46,12.395007,-1.58993,1.27296161651611,0.785431087017059,0.536296784877777,25,1.0
47,11.789239,-0.731029,0.107291668653488,-0.0733302384614944,-0.294535338878632,24,0.0
48,14.273547,-1.466946,-0.624750018119812,-0.767563343048096,-1.03077685832977,26,0.0
50,12.434032,-2.726864,-0.540504217147827,-0.55224198102951,-0.82771497964859,26,0.0
51,12.487741,1.108082,-0.639629185199738,-0.701698958873749,-1.00144815444946,25,0.0
52,10.643663,-4.752587,2.88091492652893,1.72375309467316,1.46478462219238,20,1.0
53,11.361044,-0.588096,-0.228828802704811,-0.175856173038483,-0.412645161151886,25,0.0
54,12.371034,-1.502172,3.1966278553009,1.78234076499939,1.52316153049469,25,1.0
55,12.816884,-1.59489,-0.395208805799484,-0.498273551464081,-0.757633626461029,25,0.0
56,11.667293,-1.069946,-0.442736655473709,-0.567732810974121,-0.821518182754517,24,0.0
57,12.268623,-2.351418,1.68351292610168,1.15213203430176,0.921976923942566,24,1.0
59,12.094527,-3.661177,0.177883461117744,0.0055694640614092,-0.232693418860435,26,1.0
60,10.011584,-4.49659,-0.399445384740829,-0.348173528909683,-0.630081474781036,26,0.0
61,10.66951,-3.577657,-0.400552809238434,-0.435483932495117,-0.673502802848816,25,0.0
62,12.37048,-1.491622,2.74768090248108,1.59683406352997,1.3529657125473,24,1.0
63,12.402839,-1.467623,0.904316008090973,0.42144188284874,0.18100143969059,25,1.0
64,12.341763,-1.573263,0.785286068916321,0.246049404144287,-0.0011915111681446,28,1.0
65,12.458446,-3.416953,0.182887196540833,0.196835428476334,-0.0351177267730236,25,0.0
66,12.291861,-2.451599,-0.552000820636749,-0.59236204624176,-0.867742538452148,25,1.0
67,12.325955,-0.648306,-0.421336144208908,-0.387003988027573,-0.625727653503418,26,0.0
68,11.137935,0.812677,-0.60771119594574,-0.714981973171234,-1.00141441822052,25,0.0
69,13.102305,-1.110773,0.872905373573303,0.814132034778595,0.574191331863403,26,1.0
70,12.040364,-2.697336,-0.370740383863449,-0.450775861740112,-0.719273030757904,26,0.0
71,12.058901,-1.342583,0.377698183059692,0.118807382881641,-0.137555316090584,22,1.0
72,11.391082,0.034848,-0.504469990730286,-0.57814484834671,-0.842159926891327,25,0.0
73,12.898892,0.208355,-0.616041243076324,-0.760547637939453,-1.04061460494995,24,0.0
74,11.180897,-3.048518,-0.596804976463318,-0.637931883335114,-0.91363650560379,26,0.0
75,12.657737,-1.890669,0.0172403864562511,-0.0225672945380211,-0.255732387304306,26,1.0
76,11.247308,-2.951582,-0.57853502035141,-0.644056379795074,-0.919391453266144,26,0.0
77,14.288375,-1.841096,-0.584592521190643,-0.618423521518707,-0.86999648809433,24,0.0
79,12.579385,-1.302727,0.698247611522675,0.557381570339203,0.326411008834839,25,1.0
80,11.824379,-1.281051,-0.363562315702438,-0.370225459337234,-0.628606617450714,26,0.0
81,13.587589,-2.404808,0.749472916126251,0.716998159885406,0.484494239091873,24,1.0
82,10.681623,-2.921532,-0.611457228660583,-0.748112678527832,-1.01948344707489,25,0.0
83,14.764099,-0.701351,-0.676350831985474,-1.06910848617554,-1.33088374137878,24,0.0
84,11.595796,-3.734358,-0.400035202503204,-0.43000853061676,-0.692054271697998,25,0.0
