cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
1,-9.52606,33.271903,-0.513607621192932,-0.732255101203918,-1.0324010848999,25,0.0
2,-9.690022,33.283763,0.396123796701431,-0.257586598396301,-0.538468718528748,21,1.0
3,-10.025486,33.517927,-0.568970799446106,-0.715608894824982,-0.997166693210602,25,0.0
4,-9.974574,33.909689,0.297433584928513,-0.160593509674072,-0.425873279571533,25,1.0
5,-10.32464,34.141863,-0.423375189304352,-0.729730486869812,-1.02904272079468,25,0.0
6,-10.024432,33.914168,-0.374655604362488,-0.669347107410431,-0.96295952796936,25,0.0
7,-9.812009,33.899229,-0.274195641279221,-0.453401952981949,-0.724187970161438,23,0.0
8,-10.883422,33.625822,-0.404970794916153,-0.546526789665222,-0.813919723033905,25,0.0
9,-10.605482,34.074269,-0.393247842788696,-0.653954684734344,-0.926977634429932,23,0.0
10,-12.203974,34.008097,-0.480349570512772,-0.615778088569641,-0.896003365516663,24,0.0
11,-11.384162,34.008425,-0.359112799167633,-0.670897305011749,-0.944952666759491,25,1.0
12,-11.442054,34.028038,1.32454454898834,0.738830804824829,0.50495857000351,24,1.0
13,-11.418798,34.031034,0.367462605237961,-0.0894088894128799,-0.343805104494095,23,1.0
14,-11.448273,33.994506,1.57857155799866,1.03358769416809,0.803634762763977,25,1.0
15,-11.731002,33.6006,-0.28883957862854,-0.454989969730377,-0.731525242328644,24,0.0
16,-11.951594,33.356649,-0.472456395626068,-0.669912993907928,-0.958846688270569,25,0.0
17,-11.914443,33.745643,0.0465231947600842,-0.0595977455377579,-0.328886747360229,25,0.0
18,-12.701924,33.808345,-0.590998768806458,-0.761410534381866,-1.04170072078705,24,0.0
19,-11.558163,33.66232,-0.493079215288162,-0.610075831413269,-0.885812640190125,25,0.0
20,-11.175388,33.756628,-0.419267207384109,-0.62781149148941,-0.907432854175568,25,0.0
21,-11.370853,33.497021,-0.595303595066071,-0.788367807865143,-1.08221542835236,25,0.0
22,-13.016019,33.444013,0.0276741720736027,-0.404810339212418,-0.681067109107971,24,1.0
23,-13.091005,33.777253,-0.55155086517334,-0.696834444999695,-0.987339973449707,24,0.0
24,-12.500796,33.421407,-0.647808313369751,-0.796244144439697,-1.10059666633606,24,0.0
25,-12.917064,33.875555,-0.621344804763794,-0.709557414054871,-1.00394034385681,25,0.0
26,-13.056732,33.5018,-0.370978325605392,-0.544409215450287,-0.821381747722626,24,0.0
27,-13.446419,33.39967,-0.241840004920959,-0.425251036882401,-0.715822219848633,24,0.0
28,-13.180261,33.926522,-0.573972821235657,-0.667153060436249,-0.95564877986908,25,0.0
29,-12.87067,34.268122,-0.580806255340576,-0.668244004249573,-0.965481758117676,24,0.0
30,-13.238437,34.170461,-0.547802746295929,-0.727128148078918,-1.03829896450043,22,0.0
31,-12.927315,34.287064,1.83575880527496,1.09942352771759,0.867515623569489,24,1.0
32,-13.804007,34.568885,-0.299077928066254,-0.419601589441299,-0.700510919094086,24,0.0
33,-13.7812,34.451685,1.07043838500977,0.551190316677094,0.294244021177292,25,1.0
34,-13.573084,34.126905,-0.705781579017639,-0.790575921535492,-1.09607255458832,25,0.0
35,-13.542463,33.775777,-0.4661003947258,-0.511796832084656,-0.798587620258331,25,0.0
36,-13.652641,34.089459,-0.529236674308777,-0.513788819313049,-0.792673945426941,24,0.0
37,-13.610101,33.665434,-0.443628787994385,-0.576273381710052,-0.867573380470276,25,0.0
38,-13.422633,33.652827,-0.487598419189453,-0.691083788871765,-0.972750544548035,25,0.0
39,-13.955676,34.450924,-0.674875438213348,-0.886027157306671,-1.19629085063934,22,0.0
40,-13.480341,34.363181,-0.514557182788849,-0.64804208278656,-0.940318822860718,25,0.0
41,-13.77854,33.605298,-0.598548352718353,-0.562731444835663,-0.864056587219238,24,0.0
42,-13.875822,33.881226,-0.621384024620056,-0.882497906684875,-1.16623282432556,25,0.0
43,-14.032175,34.005233,-0.681549191474915,-0.85302722454071,-1.16914474964142,25,0.0
44,-13.994821,33.535234,-0.387988805770874,-0.495162218809128,-0.794037103652954,25,0.0
45,-14.317569,33.762634,-0.65791791677475,-0.788303911685944,-1.10378038883209,24,0.0
46,-14.19341,33.738742,-0.687641978263855,-0.871110856533051,-1.18423044681549,25,0.0
47,-14.171308,33.943825,-0.718590021133423,-0.904848098754883,-1.22182714939117,24,0.0
48,-13.788267,33.29196,-0.0278500020503998,-0.483709186315536,-0.77649462223053,22,0.0
49,-14.02693,33.501026,-0.0738848075270653,-0.280128568410873,-0.572816014289856,25,0.0
50,-13.919611,33.771192,0.328876078128815,-0.122497871518135,-0.388316035270691,23,1.0
51,-13.844858,33.167027,-0.682678759098053,-0.888363897800446,-1.2149920463562,24,0.0
52,-13.91835,33.118941,-0.642118334770203,-0.769611954689026,-1.0716860294342,24,0.0
53,-14.016492,34.248328,-0.53432959318161,-0.724294722080231,-1.02956569194794,25,0.0
54,-13.422719,33.043652,-0.590452075004578,-0.698455333709717,-1.01124775409698,24,0.0
55,-14.324095,34.365389,-0.659369587898254,-0.666028141975403,-0.988229095935822,24,0.0
56,-14.284716,34.064914,-0.769644021987915,-0.879189610481262,-1.20436501502991,25,0.0
57,-13.941869,33.823381,0.409509122371674,-0.0406902059912682,-0.297221332788467,23,1.0
58,-13.902725,33.773952,0.396021813154221,0.036149974912405,-0.228478699922562,22,1.0
59,-14.000816,33.73102,0.857108473777771,0.314589381217957,0.0504867695271969,20,1.0
60,-13.994818,33.790066,2.20924258232117,1.61627185344696,1.36635506153107,23,1.0
61,-14.002932,33.783661,1.40867555141449,0.591285705566406,0.351276248693466,25,1.0
62,-13.882651,33.76416,1.49450814723969,0.714303910732269,0.472543776035309,22,1.0
63,-14.026085,33.789457,0.871914565563202,0.257221609354019,0.0089711416512727,22,1.0
64,-13.902308,33.735711,0.662066638469696,-0.0251412820070982,-0.276995956897736,24,1.0
65,-14.01161,33.808096,1.72882521152496,1.09636116027832,0.859217166900635,21,1.0
66,-14.004867,33.814072,0.397381752729416,-0.193393707275391,-0.46302255988121,23,1.0
67,-13.95428,33.77641,2.42591142654419,1.83830094337463,1.60207343101501,23,1.0
68,-13.827562,33.772166,-0.450086951255798,-0.626061022281647,-0.910666227340698,23,1.0
69,-13.968726,33.715977,0.0625183954834938,-0.234617084264755,-0.50410658121109,25,1.0
70,-13.972973,33.810943,1.45995914936066,0.677636682987213,0.425569534301758,24,1.0
71,-14.386347,34.307547,0.673621237277985,0.130034103989601,-0.133847236633301,24,1.0
72,-15.026,35.010677,-0.441924005746841,-0.502074241638184,-0.784428060054779,25,0.0
73,-15.181636,34.906672,0.596291244029999,0.231408759951591,-0.0165038555860519,24,0.0
74,-14.556609,34.658165,-0.584766805171967,-0.772309958934784,-1.07467818260193,25,0.0
75,-14.41379,34.233917,-0.505122780799866,-0.652033686637878,-0.937335610389709,25,0.0
76,-14.396272,34.430982,-0.386249601840973,-0.559790313243866,-0.845429718494415,25,0.0
77,-14.992107,35.204274,-0.28423598408699,-0.433470100164413,-0.711908161640167,25,0.0
78,-14.721337,34.762391,-0.521997630596161,-0.676012575626373,-0.954162180423737,25,0.0
79,-14.919375,34.857543,-0.595510005950928,-0.586077988147736,-0.903898179531097,25,0.0
80,-14.460642,33.729745,-0.667671978473663,-0.799607276916504,-1.10955631732941,25,0.0
81,-14.875774,35.454328,-0.506146788597107,-0.646912634372711,-0.927556693553925,22,0.0
82,-15.067143,35.216447,-0.202793195843697,-0.578065037727356,-0.844337284564972,25,1.0
83,-14.832417,35.632091,-0.628105998039246,-0.640710353851318,-0.926543414592743,25,0.0
84,-14.718912,35.77201,-0.622827172279358,-0.580273687839508,-0.868777275085449,25,0.0
85,-15.184581,35.491161,-0.493982791900635,-0.59100729227066,-0.880119442939758,25,0.0
86,-14.315832,35.547818,-0.497152090072632,-0.612162113189697,-0.891035735607147,24,0.0
87,-14.381084,35.133384,-0.398457080125809,-0.694009900093079,-0.970162510871887,24,0.0
88,-14.571855,35.587057,-0.461237400770187,-0.622798025608063,-0.912850379943848,23,0.0
89,-14.69202,35.436866,-0.395698010921478,-0.539374530315399,-0.816767275333405,25,0.0
90,-14.672735,35.002141,-0.677505433559418,-0.769363939762115,-1.05540943145752,24,0.0
91,-14.19466,34.857799,-0.591927170753479,-0.807930469512939,-1.10598921775818,25,0.0
92,-14.472799,35.252738,0.154091209173203,-0.154498621821404,-0.443286508321762,25,1.0
93,-13.67601,35.013856,-0.434722810983658,-0.608774363994598,-0.898879885673523,25,0.0
94,-15.383994,35.101041,-0.486536651849747,-0.614566802978516,-0.896959960460663,24,0.0
95,-15.503088,35.36515,-0.502922475337982,-0.654703855514526,-0.941299557685852,24,0.0
96,-15.428138,35.576615,-0.578904509544373,-0.593983173370361,-0.887914299964905,22,0.0
97,-15.304816,35.426777,-0.453516006469727,-0.433291524648666,-0.724904358386993,25,0.0
98,-15.316415,35.410807,-0.369432508945465,-0.56749552488327,-0.843568086624146,20,0.0
99,-15.616608,35.457238,-0.508233606815338,-0.645380795001984,-0.936270534992218,25,0.0
100,-15.769963,35.182222,0.130664393305779,-0.148679941892624,-0.424528509378433,25,0.0
101,-15.856344,35.285576,-0.606480419635773,-0.693426728248596,-0.990667939186096,25,0.0
102,-15.960264,35.23778,-0.582787573337555,-0.854667663574219,-1.16744065284729,25,0.0
103,-16.036187,35.56095,-0.432857185602188,-0.635409235954285,-0.922287583351135,25,0.0
104,-16.121249,35.4213,-0.507290840148926,-0.688749670982361,-0.972448110580444,24,0.0
105,-16.077617,35.331595,-0.431481242179871,-0.710167706012726,-1.00238037109375,24,0.0
106,-15.98938,35.434482,-0.153762802481651,-0.201827600598335,-0.476175040006638,25,0.0
107,-15.672741,35.429392,-0.416699200868607,-0.523646235466003,-0.79702752828598,25,0.0
108,-15.897058,35.808785,-0.570292830467224,-0.544320940971375,-0.860615134239197,25,0.0
109,-15.622685,35.584403,-0.571688413619995,-0.537318825721741,-0.866698086261749,25,0.0
