cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
1,-13.323435581,35.236858481,0.598821997642517,0.643631815910339,0.425204426050186,20,1.0
2,-13.29826024,35.231074265,0.195391669869423,0.0294204223901033,-0.203372970223427,18,1.0
3,-13.282095195,35.249710023,0.68482893705368,0.757070958614349,0.529470384120941,19,1.0
4,-13.303713761,35.254499771,0.249648332595825,0.297700494527817,0.0740177184343338,18,1.0
5,-13.329656031,35.242420301,0.572613179683685,0.52837085723877,0.305246412754059,19,1.0
6,-13.322102086,35.252419648,-0.0966054946184158,-0.0690857097506523,-0.290966928005219,20,1.0
7,-13.343011122,35.255182711,-0.442877233028412,-0.381228446960449,-0.622326970100403,18,1.0
8,-14.8171857,36.531462043,0.301695495843887,0.374706298112869,0.136005863547325,20,1.0
9,-14.812220121,36.545847842,0.268343687057495,0.449534833431244,0.224170669913292,19,1.0
10,-14.791571794,36.505153666,-0.584452986717224,-0.533086121082306,-0.785448431968689,20,1.0
11,-14.81269375,36.530698813,2.06602358818054,2.17764401435852,1.94586086273193,20,1.0
12,-14.796782263,36.493755147,-0.592617988586426,-0.377078890800476,-0.626326560974121,20,1.0
13,-14.92331934,36.487441664,-0.755418419837952,-0.912812650203705,-1.16896224021912,25,0.0
14,-14.779970415,36.854046712,-0.626765668392181,-0.776968896389008,-1.0115270614624,23,0.0
15,-14.714743887,36.355397089,-0.632849216461182,-0.593596160411835,-0.850380003452301,25,0.0
16,-14.534840506,36.577564576,-0.713916420936584,-0.618165969848633,-0.875003099441528,25,0.0
17,-12.468074756,35.039292916,-0.774525225162506,-0.705495119094849,-0.964590668678284,25,0.0
18,-12.896502462,34.774758719,-0.722397983074188,-0.692418396472931,-0.935056209564209,25,0.0
19,-12.901291814,35.047734317,-0.689095616340637,-0.654019773006439,-0.916066825389862,25,0.0
20,-13.485818449,35.368433337,-0.765613198280334,-0.821963012218475,-1.06868636608124,25,0.0
21,-13.334324313,35.655303327,-0.615970015525818,-0.621294438838959,-0.856956124305725,25,0.0
22,-13.423462623,35.241912271,-0.698144018650055,-0.678365767002106,-0.928860723972321,25,0.0
23,-13.358725153,34.934615703,-0.674109160900116,-0.576713144779205,-0.839274406433105,24,0.0
24,-13.328523371,35.93254887,-0.693233966827393,-0.595246911048889,-0.851033806800842,25,0.0
25,-14.348144044,35.646621375,-0.620894491672516,-0.403571784496307,-0.648992478847504,20,1.0
26,-14.239180647,35.670885196,-0.698273599147797,-0.793169260025024,-1.02642977237701,25,0.0
27,-14.38847736,35.758768745,-0.728870809078217,-0.852737247943878,-1.08886110782623,25,0.0
28,-14.582655201,35.849127215,-0.673171579837799,-0.703462481498718,-0.948533713817596,25,0.0
29,-14.221321231,35.522822156,-0.574503183364868,-0.492937356233597,-0.736195147037506,25,0.0
30,-14.133258746,35.937588433,-0.38711479306221,-0.349098265171051,-0.593518495559692,25,0.0
31,-13.176917748,37.519771103,-0.731093525886536,-0.765234291553497,-1.0128561258316,20,1.0
32,-13.20896279,37.483275722,-0.19157449901104,-0.185899436473846,-0.417916119098663,20,1.0
33,-13.081758124,37.611042744,-0.697770416736603,-0.740433216094971,-0.995274186134338,25,0.0
34,-13.42618028,37.942269499,-0.76034677028656,-0.855621039867401,-1.10232543945312,25,0.0
35,-13.906653325,37.102116786,-0.750392019748688,-0.853883743286133,-1.10563778877258,25,0.0
36,-14.02933633,37.170726571,-0.72450202703476,-0.71670937538147,-0.980462253093719,25,0.0
37,-12.616664898,36.521724902,-0.587949991226196,-0.565005242824554,-0.835094630718231,25,0.0
38,-15.32039596,35.881876001,-0.732307195663452,-0.668182075023651,-0.906451463699341,25,0.0
39,-15.384984415,35.960551423,-0.73351639509201,-0.736543893814087,-1.00643384456635,25,0.0
40,-15.390320223,36.210072027,-0.625224411487579,-0.517582178115845,-0.7856605052948,25,0.0
