cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
1,4.965165,-2.009094,0.108100667595863,0.914503693580627,0.690683901309967,30,0.0
2,5.793782,-0.400936,-0.253277987241745,0.536396205425262,0.294276088476181,30,0.0
3,6.742562,-1.636748,1.14147233963013,1.82620239257812,1.57091283798218,26,1.0
4,5.503744,-0.413996,0.607513606548309,1.41485333442688,1.14902365207672,25,1.0
5,10.554068,0.038188,-1.34705829620361,-0.170658245682716,-0.44663941860199,30,0.0
6,6.725353,-1.586704,0.978676438331604,1.75185132026672,1.49207603931427,28,1.0
7,5.493283,-1.154177,-0.165631160140038,0.894526720046997,0.651475727558136,26,0.0
8,6.716656,-1.630634,1.24232995510101,1.93188989162445,1.67424464225769,28,1.0
9,5.692909,-1.279127,0.55014568567276,1.35329449176788,1.10577261447906,28,1.0
10,8.679028,0.150627,-0.270472586154938,0.937612354755402,0.676966309547424,27,0.0
11,8.095318,-2.505134,-0.871348321437836,-0.311008870601654,-0.588158011436462,30,0.0
12,7.223636,-2.237646,0.289715856313705,1.01079940795898,0.744487285614014,29,1.0
13,7.225835,-2.783464,-0.13086499273777,0.617801487445831,0.396563947200775,30,1.0
14,9.49535,-2.419952,0.115937829017639,0.853874564170837,0.575637400150299,23,1.0
15,6.925463,-2.792227,-0.320644825696945,0.664692044258118,0.401283591985703,27,0.0
16,5.94169,-0.700474,-0.433492064476013,0.157760784029961,-0.0835720002651215,29,0.0
17,7.943569,-2.691144,0.409519255161285,1.4416971206665,1.17915523052216,27,1.0
18,7.136724,0.489497,-0.0973321422934532,0.9624382853508,0.709385693073273,28,0.0
19,6.584725,-1.100463,-0.746266901493073,-0.507395148277283,-0.76138299703598,26,0.0
20,10.970069,-0.190803,-1.51020038127899,-0.149981021881104,-0.42004781961441,28,0.0
21,8.463161,-0.526861,-0.880109310150146,0.291629195213318,0.0222780499607325,30,0.0
22,10.512106,-2.841378,-1.15890657901764,-0.575510740280151,-0.879806518554688,29,0.0
23,7.431939,-2.575391,0.443370670080185,1.20027160644531,0.948660552501678,30,1.0
24,10.525542,-1.388365,-1.15795612335205,-0.17235092818737,-0.453110456466675,23,0.0
25,5.593991,-0.636008,0.209941476583481,0.957367360591888,0.675818979740143,27,1.0
26,5.902272,-0.523012,-0.564303934574127,-0.379047870635986,-0.625593423843384,28,0.0
27,8.47173,-0.203981,-1.21276772022247,-0.362336009740829,-0.63704526424408,30,0.0
28,5.74859,-0.145988,0.598653793334961,1.65663266181946,1.38839280605316,29,0.0
29,6.620168,-1.214181,0.821663081645966,1.29572927951813,1.04372775554657,29,1.0
30,7.489446,-1.654097,-0.31566858291626,0.530789315700531,0.25894233584404,28,0.0
31,8.101186,0.008698,-0.930026173591614,-0.108373753726482,-0.417637556791306,26,0.0
32,6.140651,0.955204,-0.62581592798233,0.143273502588272,-0.0990246385335922,27,0.0
33,6.445297,-0.857472,-0.636987328529358,-0.0973037034273148,-0.360935747623444,30,0.0
34,6.922908,-0.002787,-0.992234349250793,-0.389527022838593,-0.664600610733032,23,0.0
35,5.567143,-0.151343,0.950824499130249,1.51942098140717,1.26710283756256,29,1.0
36,5.58263,-0.994889,0.268476158380508,1.031005859375,0.780463814735413,26,1.0
37,5.700158,-1.078593,-0.579398274421692,-0.100430250167847,-0.337964802980423,23,0.0
38,4.914374,-1.790434,1.19538605213165,1.75379967689514,1.50649988651276,23,1.0
39,9.619032,-0.817643,-0.510267555713654,1.11714601516724,0.861586689949036,29,1.0
40,6.532596,0.280008,-0.0530903600156307,0.686075568199158,0.42801371216774,28,1.0
41,5.337116,-1.03187,-0.333700776100159,0.565601944923401,0.301986515522003,26,0.0
42,6.228707,-0.394608,0.359445989131927,1.06534802913666,0.799473524093628,30,1.0
43,7.137216,0.471193,0.353263348340988,1.10523784160614,0.833699226379395,30,1.0
44,10.896973,-0.069306,-0.784562647342682,0.873058676719666,0.579427063465118,30,0.0
45,7.349223,-2.117523,-0.439327657222748,0.456038445234299,0.214018166065216,30,0.0
46,7.935717,-1.712563,-0.509975492954254,0.454749703407288,0.163390129804611,29,0.0
47,5.807975,0.948708,0.470871806144714,1.29724597930908,1.04742574691772,22,1.0
48,5.448083,-1.080814,-0.395519584417343,0.839272081851959,0.616006374359131,25,0.0
49,5.577422,-0.105796,0.568131685256958,1.00995254516602,0.746969521045685,30,1.0
50,10.697671,-2.845937,-1.07165825366974,0.0783354267477989,-0.195458143949509,29,0.0
51,7.964845,-2.60062,-0.860347270965576,-0.0140541633591056,-0.257513433694839,29,0.0
52,6.150937,-2.130236,0.162469655275345,1.28276228904724,1.00801587104797,29,0.0
53,4.952203,-1.714392,0.777088046073914,1.40794396400452,1.15388822555542,26,1.0
54,5.00325,-1.727518,0.103855855762959,0.971805930137634,0.689687430858612,29,0.0
55,7.16699,0.326889,-0.560878694057465,0.0468066819012165,-0.195731148123741,30,0.0
56,5.300916,-0.815987,-0.247017696499825,0.780220448970795,0.529473960399628,26,0.0
57,5.846177,-0.792792,-0.285919994115829,0.544099509716034,0.281327605247498,28,0.0
58,10.071832,-2.498544,0.600114166736603,1.57339596748352,1.29691708087921,24,1.0
59,7.509228,-2.908872,-0.638828992843628,0.0993553251028061,-0.14495176076889,29,0.0
60,6.78661,-1.45488,0.42335033416748,1.07748460769653,0.813678026199341,30,1.0
61,10.535891,-2.667279,-1.30791032314301,-0.559154450893402,-0.875113189220428,28,0.0
62,9.225152,-2.029291,-0.981089651584625,-0.111534297466278,-0.40166562795639,29,0.0
63,4.907581,-1.877879,0.103827930986881,1.00236070156097,0.757458746433258,29,0.0
64,11.059393,-0.238606,0.326762944459915,1.2079256772995,0.917996823787689,27,1.0
65,7.96651,-2.417165,-0.619592070579529,0.255760967731476,-0.025714635848999,29,1.0
66,5.834936,-2.80999,0.552619218826294,1.19918012619019,0.928330600261688,26,1.0
67,5.850759,-0.966748,-0.20445653796196,0.896502673625946,0.665887355804443,26,0.0
68,5.572287,-2.364563,-0.388575166463852,0.451026618480682,0.195094406604767,29,0.0
69,6.734884,-1.583515,1.47088325023651,1.97993981838226,1.72159469127655,28,1.0
70,8.163026,-0.430897,-0.556313931941986,0.326110422611237,0.0925163626670837,28,0.0
71,6.69194,-1.976284,-0.331641912460327,0.497021853923798,0.228059947490692,26,0.0
72,4.973827,-2.316421,-0.232453659176826,0.450379908084869,0.228567942976952,30,0.0
